label,lum,err
641,3084.11,3.34197
650,872.761,1.80594
675,1219.32,2.21501
700,872.566,1.93961
725,1108.66,2.26625
750,1101.74,2.3359
775,965.956,2.26047
800,1235.44,2.63488
825,1374.38,2.86742
840,632.143,1.98396
850,936.657,2.43979
860,916.652,2.43867
870,937.059,2.49333
880,1026.31,2.63732
890,1118.81,2.77893
900,944.462,2.5802
910,1130.45,2.85826
920,1350.03,3.15729
930,1535.85,3.40345
936,1043.17,2.82757
937.4,1089.69,3.7854
937.5,1895.64,2.86646
938.3,2523.36,4.41245
938.9,2018.74,3.98069
939.6,2028.13,3.94605
940.2,1900.98,3.82901
940.8,1866.98,3.78412
942,1325.81,3.21027
950,1167.18,3.0334
960,1344.86,3.28234
971,1766.85,3.81485
981,1317.23,3.31886
990,1241.41,3.25325
1003.5,3769.29,5.74734
