name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
525.00000,0.00000,0.00000,523.58000,1.76267,0.06258,0.52000,0.02000,0.25565,0.00604,13.25918,0.76145
537.50000,0.00000,0.00000,537.41000,1.63692,0.05487,0.97000,0.01000,0.25565,0.00604,6.60093,0.27913
550.00000,0.00000,0.00000,548.44000,0.79807,0.04083,0.74000,0.03000,0.25565,0.00604,4.21854,0.29286
562.50000,0.00000,0.00000,562.13000,0.72507,0.03779,0.97000,0.01000,0.25109,0.00640,2.97700,0.17543
575.00000,0.00000,0.00000,575.31000,0.32845,0.02672,0.74000,0.04000,0.25150,0.00686,1.76481,0.17896
587.50000,0.00000,0.00000,587.05000,0.35000,0.02636,0.96000,0.02000,0.24955,0.00706,1.46096,0.12143
600.00000,0.00000,0.00000,598.04000,0.17399,0.01767,0.70000,0.05000,0.24535,0.00741,1.01305,0.12945
612.50000,0.00000,0.00000,611.71000,0.23450,0.02187,0.95000,0.02000,0.23977,0.00777,1.02947,0.10393
625.00000,0.00000,0.00000,622.47000,0.10452,0.01594,0.85000,0.07000,0.22995,0.00788,0.53476,0.09446
637.50000,0.00000,0.00000,636.39000,0.16088,0.01912,0.98000,0.02000,0.22977,0.00814,0.71448,0.08979
650.00000,0.00000,0.00000,647.57000,0.10399,0.01562,0.88000,0.05000,0.22173,0.00831,0.53295,0.08788
662.50000,0.00000,0.00000,661.68000,0.06007,0.01111,0.97000,0.03000,0.21986,0.00881,0.28167,0.05403
675.00000,0.00000,0.00000,671.80000,0.06009,0.01068,0.81000,0.08000,0.21651,0.00859,0.34264,0.07096
687.50000,0.00000,0.00000,686.75000,0.04445,0.01572,0.82000,0.14000,0.19406,0.00804,0.27934,0.11033
700.00000,0.00000,0.00000,697.00000,0.04131,0.00881,0.91000,0.06000,0.19781,0.00790,0.22948,0.05204
712.50000,0.00000,0.00000,711.53000,0.04154,0.00970,0.97000,0.03000,0.18615,0.00756,0.23006,0.05498
725.00000,0.00000,0.00000,721.70000,0.03801,0.00999,0.96000,0.04000,0.18449,0.00720,0.21463,0.05774
737.50000,0.00000,0.00000,735.73000,0.04065,0.00979,0.84000,0.10000,0.19121,0.00678,0.25306,0.06857
750.00000,0.00000,0.00000,747.05000,0.05488,0.01056,0.97000,0.03000,0.18216,0.00634,0.31058,0.06148
762.50000,0.00000,0.00000,761.18000,0.09260,0.01340,0.97000,0.03000,0.18291,0.00589,0.52190,0.07904
775.00000,0.00000,0.00000,771.60000,0.09543,0.01465,0.95000,0.02000,0.16858,0.00528,0.59591,0.09418
787.50000,0.00000,0.00000,785.93000,0.12888,0.01619,0.98000,0.01000,0.16073,0.00459,0.81820,0.10570
800.00000,0.00000,0.00000,796.90000,0.13971,0.01874,0.96000,0.02000,0.15893,0.00428,0.91569,0.12673
812.50000,0.00000,0.00000,811.46000,0.13911,0.01640,0.98000,0.01000,0.15111,0.00371,0.93937,0.11351
825.00000,0.00000,0.00000,821.52000,0.09222,0.01459,0.91000,0.04000,0.14285,0.00346,0.70940,0.11773
837.50000,0.00000,0.00000,834.72000,0.09865,0.01430,0.96000,0.02000,0.13586,0.00331,0.75636,0.11227
850.00000,0.00000,0.00000,846.43000,0.04494,0.00985,0.99000,0.01000,0.13624,0.00324,0.33318,0.07356
862.50000,0.00000,0.00000,861.56000,0.03177,0.00938,0.96000,0.04000,0.12202,0.00315,0.27120,0.08120
880.00000,8.15000,7.89000,878.97000,0.01306,0.00381,0.95000,0.05000,0.11500,0.00329,0.11950,0.03558
910.00000,14.83000,13.04000,911.28000,0.01206,0.00317,0.93000,0.05000,0.09805,0.00370,0.13231,0.03581
950.00000,28.82000,37.90000,964.41000,0.00317,0.00116,0.91000,0.06000,0.06069,0.00390,0.05738,0.02171
