name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
525.00000,0.00000,0.00000,523.58000,0.96908,0.04636,0.28700,0.01940,0.25346,0.00630,13.32191,1.15180
537.50000,0.00000,0.00000,537.41000,1.60628,0.05436,0.94940,0.01070,0.25346,0.00630,6.67513,0.29016
550.00000,0.00000,0.00000,548.44000,0.68490,0.03724,0.62280,0.03740,0.25346,0.00630,4.33878,0.36765
562.50000,0.00000,0.00000,562.13000,0.71812,0.03686,0.94480,0.01690,0.24713,0.00653,3.07564,0.18589
575.00000,0.00000,0.00000,575.31000,0.28580,0.02489,0.62160,0.05600,0.24652,0.00725,1.86507,0.24007
587.50000,0.00000,0.00000,587.05000,0.34330,0.02604,0.93900,0.02630,0.24448,0.00717,1.49545,0.12862
600.00000,0.00000,0.00000,598.04000,0.12911,0.01521,0.51850,0.06740,0.23704,0.00748,1.05047,0.18725
612.50000,0.00000,0.00000,611.71000,0.23571,0.02215,0.91380,0.03650,0.23749,0.00796,1.08611,0.11672
625.00000,0.00000,0.00000,622.47000,0.09732,0.01538,0.77780,0.09540,0.23026,0.00807,0.54340,0.11035
637.50000,0.00000,0.00000,636.39000,0.16267,0.01927,0.96550,0.03330,0.22552,0.00820,0.74711,0.09611
650.00000,0.00000,0.00000,647.57000,0.09872,0.01512,0.81820,0.08040,0.21718,0.00850,0.55557,0.10342
662.50000,0.00000,0.00000,661.68000,0.06003,0.01111,0.94740,0.04990,0.21851,0.00875,0.28998,0.05701
675.00000,0.00000,0.00000,671.80000,0.05797,0.01028,0.73330,0.11060,0.21586,0.00879,0.36621,0.08656
687.50000,0.00000,0.00000,686.75000,0.04445,0.01584,0.75000,0.19360,0.19184,0.00813,0.30896,0.13655
700.00000,0.00000,0.00000,697.00000,0.03945,0.00860,0.83330,0.10340,0.19622,0.00801,0.24127,0.06134
712.50000,0.00000,0.00000,711.53000,0.04154,0.00970,0.93330,0.06240,0.18821,0.00834,0.23648,0.05838
725.00000,0.00000,0.00000,721.70000,0.03806,0.00999,0.91670,0.07670,0.18448,0.00746,0.22506,0.06268
737.50000,0.00000,0.00000,735.73000,0.03832,0.00956,0.77780,0.13150,0.19082,0.00681,0.25818,0.07833
750.00000,0.00000,0.00000,747.05000,0.05492,0.01056,0.94440,0.05260,0.18329,0.00651,0.31725,0.06450
762.50000,0.00000,0.00000,761.18000,0.09252,0.01344,0.95650,0.04160,0.18283,0.00593,0.52908,0.08202
775.00000,0.00000,0.00000,771.60000,0.09448,0.01427,0.88570,0.05300,0.16906,0.00550,0.63094,0.10457
787.50000,0.00000,0.00000,785.93000,0.12705,0.01609,0.95650,0.02970,0.16168,0.00476,0.82156,0.10983
800.00000,0.00000,0.00000,796.90000,0.14262,0.01916,0.92110,0.04320,0.15908,0.00437,0.97333,0.14109
812.50000,0.00000,0.00000,811.46000,0.13714,0.01628,0.95450,0.03110,0.15107,0.00378,0.95106,0.11948
825.00000,0.00000,0.00000,821.52000,0.08591,0.01405,0.83330,0.07450,0.14330,0.00360,0.71943,0.13529
837.50000,0.00000,0.00000,834.72000,0.09508,0.01409,0.91430,0.04670,0.13522,0.00336,0.76904,0.12203
850.00000,0.00000,0.00000,846.43000,0.04587,0.01004,0.95000,0.04760,0.13553,0.00327,0.35625,0.08042
862.50000,0.00000,0.00000,861.56000,0.03179,0.00938,0.92860,0.06650,0.12411,0.00309,0.27582,0.08406
880.00000,8.15000,7.89000,878.97000,0.01306,0.00381,0.90910,0.08300,0.11592,0.00334,0.12388,0.03803
910.00000,14.83000,13.04000,911.28000,0.01148,0.00313,0.85710,0.09040,0.10074,0.00359,0.13301,0.03911
950.00000,28.82000,37.90000,964.41000,0.00311,0.00113,0.84620,0.09640,0.06182,0.00383,0.05951,0.02295
