,M,S1,S2,f,N,C,Merr,S1err,S2err,ferr,Nerr,Cerr
525.0,496.2061851267778,5.6258114068549325,10.0,1.0,794.664052619265,62.4124999132456,0.21155174122020526,0.18127866260106273,0.0,0.0,29.020395600984386,10.47995847306171
537.5,498.0519490795728,4.986820056552963,10.0,1.0,885.510319253191,37.49288625241398,0.17457676316195148,0.14499663191548517,0.0,0.0,30.273032460900765,8.271952989958807
550.0,497.1365475801896,5.9261245421952555,10.0,1.0,380.0196998555438,19.950481417153387,0.3200162058868159,0.2781044160457107,0.0,0.0,19.99848244411683,6.313632039473327
562.5,497.58304437990506,5.404416144970732,10.0,1.0,386.9836726325182,29.05840993269926,0.2918412427795545,0.2505087272537514,0.0,0.0,20.260862843418664,7.2481642015686525
575.0,498.64807541310745,7.352644258212214,10.0,1.0,158.02056869436697,10.982452278186727,0.6170174450629702,0.4992735813492821,0.0,0.0,12.991166532791425,4.660798644581353
587.5,497.50719334812334,6.516136595759884,10.0,1.0,174.75092554936066,12.273069106950697,0.539229649058143,0.5415621643267157,0.0,0.0,13.960832387840952,5.690969601963024
600.0,496.5656261998284,7.9533030927282855,10.0,1.0,97.01405167786837,9.524891320111806e-06,0.8066110387772767,0.5705749496156765,0.0,0.0,9.849912592957423,1.2270869878911461
612.5,497.33297449541317,5.689498996702415,10.0,1.0,119.43799021705837,11.565386116721088,0.5656646298072587,0.5103430881109636,0.0,0.0,11.376218434205896,4.640407920674438
625.0,497.22428426102675,6.991184009490034,10.0,1.0,41.73148199795307,1.2715170132089337,1.150981420977132,1.0183352736279563,0.0,0.0,6.591498142050071,1.7265193852460947
637.5,497.7213140181421,6.225084636219984,10.0,1.0,72.23784758684238,3.8062058159481493,0.7689996715914731,0.6272733675116271,0.0,0.0,8.713065998774972,2.7326827785571495
650.0,496.90731684813375,6.59355017091336,10.0,1.0,47.70444153512354,4.336054114876142,1.0188909043080798,0.8239177055698281,0.0,0.0,7.152642954341701,2.7885092284343216
662.5,496.5049024851099,5.070015151834914,10.0,1.0,30.11554417601814,4.854213749077241,1.056155469168857,0.8877600870602844,0.0,0.0,5.765235608437557,2.8292345153814176
675.0,498.86807022452194,6.831483904332014,10.0,1.0,33.91167907776938,3.071800872907482,1.2053573680452985,0.8502960428708484,0.0,0.0,5.962659424027516,2.1698913597710257
687.5,494.18690428792684,5.540432684623319,10.0,1.0,7.978721570561786,1.3786694008643963e-06,1.9439950197942437,1.3816661762615263,0.0,0.0,2.8227771529637513,0.7238751684006672
700.0,496.43967081517155,6.585295076438976,10.0,1.0,21.988524783611574,5.5011956101580495e-06,1.3992037095056276,0.9937548410267087,0.0,0.0,4.688572947661452,0.749915006225621
712.5,499.20505804975386,6.31,10.0,1.0,21.87261493333814,5.141843867022655,1.5330324758616882,0.1,0.0,0.0,4.9655461013292665,2.8124069838887378
725.0,500.52898218158765,8.37739577868258,10.0,1.0,17.108067038529295,1.8894061385541505,2.142393255643725,1.5491833720080512,0.0,0.0,4.337081455590974,1.895298695626324
737.5,496.49900220064086,5.7,10.0,1.0,18.53631695727387,5.463130106342806,1.424079726402823,0.1,0.0,0.0,4.5183106430174425,2.7093826331214266
750.0,497.3049915095396,6.0127017762306005,10.0,1.0,28.722548701670682,7.285308311943073,1.2515447613486117,1.1683434059175135,0.0,0.0,5.753532226460136,3.414358976692511
762.5,497.1919626802463,6.2856664874564006,10.0,1.0,49.42134732596748,3.5643050290963263,0.9539280650132866,0.7405161945135248,0.0,0.0,7.228081588331328,2.52571288444714
775.0,498.1812723621871,6.928327277398442,10.0,1.0,48.75133859083558,8.24060014890049,1.0902951764196587,0.9143545662247963,0.0,0.0,7.451157438836951,3.8739001933387196
787.5,498.0410240870038,6.892909522172075,10.0,1.0,65.48975417636215,6.496437630336249,0.9208788225962223,0.8334035091508625,0.0,0.0,8.494037428460889,3.6290782356895868
800.0,497.4575749141399,7.493790970179652,10.0,1.0,60.47859040703152,7.517207593289554,1.0670619769325072,1.0722162304200196,0.0,0.0,8.446660397637423,4.286919900968078
812.5,499.60200417067006,8.50209079402196,10.0,1.0,72.00413156857599,1.0600701427776471e-06,1.0002644340941629,0.7069751839790555,0.0,0.0,8.485632836385815,0.9541493389269573
825.0,495.0976975560176,7.733689196636015,10.0,1.0,42.606410449408386,2.391085428720574,1.2676739483591746,1.0127681211603732,0.0,0.0,6.760771389999199,2.3428728176767
837.5,497.62360240820027,7.023860647268541,10.0,1.0,54.30659812796223,12.692469791703243,1.2780096178530869,1.213326168583201,0.0,0.0,8.363729221522174,5.322101864894957
850.0,497.1185538310966,5.605747101949697,10.0,1.0,22.05952390354482,2.930134401244233,1.2473404042306129,0.8995906395341229,0.0,0.0,4.837153960027264,2.0677007799607128
862.5,497.1892923129222,7.04,10.0,1.0,16.50334955761723,9.501801453182356,2.335618688408829,0.1,0.0,0.0,4.76403185829255,3.9608792428764144
875.0,499.89647849580734,6.4,10.0,1.0,14.13634294353816,3.8649022828465274,1.745202527521343,0.1,0.0,0.0,3.91015854174781,2.239415235382458
910.0,497.4010496109164,5.951541824934678,10.0,1.0,17.695156475189265,11.320203999598766,1.6937870626794904,1.3255845905758883,0.0,0.0,4.76274984291536,4.036937490866144
950.0,497.5913398168088,6.0,10.0,1.0,8.870544975986272,12.130441586972296,2.7089073936787145,0.1,0.0,0.0,3.6292679662985883,4.053378752299274
