name,lum,dEmin,dEmax,Emean,Nsig,dNsig
640,720.3000,0.0000,0.0000,638.5300,95.8237,10.0087
680,843.2910,0.0000,0.0000,678.2700,74.0253,8.9651
720,915.8120,0.0000,0.0000,717.4600,50.5875,7.1529
760,835.2970,0.0000,0.0000,757.3000,71.3550,8.9807
800,824.5370,0.0000,0.0000,797.5000,107.1375,10.7083
840,881.0810,0.0000,0.0000,837.0500,94.8178,10.1862
860,807.3900,0.0000,0.0000,857.9200,28.5591,5.5871
880,964.9010,0.0000,0.0000,878.8600,14.0398,3.9136
920,2801.1360,18.7900,19.3400,917.8000,18.5769,4.9454
950,2454.5450,10.9100,9.9300,962.5100,11.3746,4.2305
960,1294.8570,5.0000,5.7400,988.5000,8.9857,3.1958
