name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
640,69.0000,0.0000,32.0000,0.9706,0.3204,0.9800,0.0286,0.0458,0.0195
680,54.0000,2.0000,24.0000,0.8929,0.3125,0.9263,0.0574,0.0515,0.0399
720,33.0000,2.0000,17.0000,0.8571,0.3462,0.9066,0.0746,0.0653,0.0497
760,51.0000,1.0000,25.0000,0.9286,0.3333,0.9524,0.0478,0.0530,0.0321
800,70.0000,2.0000,48.0000,0.9423,0.4083,0.9659,0.0320,0.0447,0.0191
840,59.0000,3.0000,42.0000,0.9149,0.4175,0.9504,0.0403,0.0484,0.0238
860,19.0000,3.0000,13.0000,0.7778,0.4118,0.8693,0.0954,0.0832,0.0591
880,9.0000,0.0000,9.0000,0.9091,0.5000,0.9545,0.0830,0.1091,0.0427
920,13.0000,5.0000,13.0000,0.7000,0.5000,0.8500,0.1000,0.0928,0.0572
950,14.0000,7.0000,11.0000,0.6000,0.4444,0.7778,0.1069,0.0939,0.0703
960,6.0000,0.0000,8.0000,0.9000,0.5625,0.9563,0.0905,0.1203,0.0414
