name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
641.00000,0.00000,0.00000,641.02000,0.09862,0.00603,0.99540,0.00210,0.21909,0.00821,0.45224,0.03243
650.00000,0.00000,0.00000,649.77000,0.10657,0.01143,0.99850,0.00160,0.21064,0.00831,0.50668,0.05791
675.00000,0.00000,0.00000,674.85000,0.06639,0.00775,0.97960,0.00940,0.20353,0.00856,0.33300,0.04142
700.00000,0.00000,0.00000,700.56000,0.04105,0.00730,0.98400,0.01150,0.18942,0.00798,0.22025,0.04033
725.00000,0.00000,0.00000,724.94000,0.05449,0.00727,0.98760,0.00750,0.17548,0.00723,0.31439,0.04396
750.00000,0.00000,0.00000,749.55000,0.08340,0.00946,0.98760,0.00640,0.17119,0.00629,0.49329,0.05892
775.00000,0.00000,0.00000,774.85000,0.10657,0.01104,0.99340,0.00390,0.15649,0.00508,0.68549,0.07448
800.00000,0.00000,0.00000,800.86000,0.13121,0.01066,0.99370,0.00320,0.15298,0.00412,0.86313,0.07395
825.00000,0.00000,0.00000,825.05000,0.13569,0.01040,0.99490,0.00300,0.13372,0.00341,1.01997,0.08243
840.00000,0.00000,0.00000,839.47000,0.12192,0.01471,0.99490,0.00510,0.12989,0.00324,0.94350,0.11633
850.00000,0.00000,0.00000,846.81000,0.04856,0.00772,0.98860,0.01130,0.13281,0.00323,0.36987,0.05961
860.00000,0.00000,0.00000,857.23000,0.03226,0.00611,0.95290,0.03190,0.12433,0.00318,0.27232,0.05287
870.00000,0.00000,0.00000,867.15000,0.02034,0.00510,0.96970,0.02140,0.11649,0.00319,0.18008,0.04556
885.00000,6.32000,5.79000,883.29000,0.01020,0.00250,0.95800,0.02870,0.10830,0.00336,0.09832,0.02449
905.00000,5.54000,4.65000,905.07000,0.00338,0.00160,0.84000,0.08260,0.09509,0.00370,0.04229,0.02047
925.00000,5.60000,4.92000,925.56000,0.00515,0.00168,0.95560,0.02260,0.08603,0.00395,0.06265,0.02068
936.00000,0.00000,0.00000,935.47000,0.00822,0.00349,0.90280,0.04610,0.07479,0.00373,0.12174,0.05241
939.00000,1.77000,1.67000,938.89000,0.00443,0.00102,0.97130,0.00940,0.07153,0.00379,0.06381,0.01504
942.00000,0.00000,0.00000,941.88000,0.00666,0.00242,0.99050,0.01070,0.06868,0.00384,0.09793,0.03605
950.00000,0.00000,0.00000,950.35000,0.00716,0.00275,0.96430,0.03460,0.06690,0.00394,0.11104,0.04325
960.00000,0.00000,0.00000,960.63000,0.00256,0.00172,0.87500,0.07070,0.06205,0.00385,0.04718,0.03213
971.00000,0.00000,0.00000,971.24000,0.00257,0.00140,0.91920,0.05690,0.05854,0.00400,0.04772,0.02632
981.00000,0.00000,0.00000,981.96000,0.00486,0.00218,0.97060,0.02860,0.05313,0.00408,0.09425,0.04292
990.00000,0.00000,0.00000,991.24000,0.00547,0.00230,0.97400,0.02600,0.04967,0.00411,0.11307,0.04859
1003.50000,0.00000,0.00000,1003.31000,0.00044,0.00069,0.98950,0.01060,0.04955,0.00417,0.00899,0.01407
