name,lum,dEmin,dEmax,Emean,Nsig,dNsig
537.50,1224.66,0.00,0.00,537.45,2004.04,45.00
550.00,1424.27,0.00,0.00,549.34,1369.61,37.49
550.10,496.83,0.00,0.00,549.67,433.61,21.32
562.50,1048.68,0.00,0.00,562.50,673.09,26.27
575.00,1054.35,0.00,0.00,574.86,511.60,22.84
587.50,1167.38,0.00,0.00,587.73,382.12,19.85
600.00,1161.83,0.00,0.00,599.89,272.77,17.30
612.50,1059.04,0.00,0.00,612.51,190.68,14.04
612.60,1179.14,0.00,0.00,612.61,252.98,16.32
625.00,1091.90,0.00,0.00,624.61,194.31,14.31
637.50,1021.19,0.00,0.00,637.05,123.28,11.39
641.00,6291.37,0.00,0.00,640.92,824.06,30.18
650.00,954.10,0.00,0.00,649.96,101.54,10.38
662.50,1109.24,0.00,0.00,662.29,113.01,10.63
675.00,1139.35,0.00,0.00,674.79,92.35,9.78
687.50,1147.48,0.00,0.00,687.11,80.44,9.44
700.00,1007.51,0.00,0.00,699.86,48.90,7.30
712.50,1010.50,0.00,0.00,712.59,73.00,8.54
725.00,1333.80,0.00,0.00,725.50,69.62,8.59
737.50,954.89,0.00,0.00,737.36,65.42,8.33
750.00,1045.60,0.00,0.00,750.02,111.37,11.68
762.00,1367.32,0.00,0.00,762.80,173.72,13.42
775.00,989.27,0.00,0.00,774.99,123.32,12.00
787.50,1260.24,0.00,0.00,787.42,226.34,15.53
800.00,1432.31,0.00,0.00,799.85,252.52,18.09
812.50,1890.39,0.00,0.00,812.62,385.27,21.13
825.00,1503.73,0.00,0.00,824.41,285.87,18.00
837.50,1067.52,0.00,0.00,837.53,142.23,12.98
850.00,1009.59,0.00,0.00,850.21,71.28,9.72
875.00,6185.49,32.55,31.52,894.07,91.07,11.95
955.00,11562.39,13.56,13.02,949.80,112.73,13.96
980.00,6696.02,5.29,9.63,978.17,67.91,10.74
