name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
537.50,453.00,20.00,1549.00,0.99,0.77,1.00,0.00,0.01,0.00
550.00,312.00,17.00,1076.00,0.98,0.77,1.00,0.00,0.01,0.00
550.10,113.00,9.00,332.00,0.97,0.74,0.99,0.01,0.02,0.00
562.50,171.00,9.00,507.00,0.98,0.75,1.00,0.01,0.02,0.00
575.00,64.00,19.00,442.00,0.96,0.87,0.99,0.01,0.01,0.00
587.50,32.00,10.00,346.00,0.97,0.91,1.00,0.01,0.01,0.00
600.00,14.00,15.00,253.00,0.94,0.94,1.00,0.01,0.01,0.00
612.50,10.00,5.00,181.00,0.97,0.94,1.00,0.01,0.02,0.00
612.60,16.00,9.00,240.00,0.96,0.93,1.00,0.01,0.02,0.00
625.00,14.00,5.00,181.00,0.97,0.92,1.00,0.01,0.02,0.00
637.50,6.00,3.00,117.00,0.97,0.94,1.00,0.02,0.02,0.00
641.00,55.00,45.00,763.00,0.94,0.93,1.00,0.01,0.01,0.00
650.00,4.00,2.00,98.00,0.97,0.95,1.00,0.02,0.02,0.00
662.50,7.00,4.00,102.00,0.95,0.93,1.00,0.02,0.02,0.00
675.00,8.00,1.00,87.00,0.98,0.91,1.00,0.02,0.03,0.00
687.50,4.00,2.00,82.00,0.97,0.94,1.00,0.02,0.02,0.00
700.00,7.00,0.00,44.00,0.98,0.85,1.00,0.02,0.05,0.00
712.50,1.00,2.00,70.00,0.96,0.97,1.00,0.02,0.02,0.00
725.00,4.00,1.00,69.00,0.97,0.93,1.00,0.02,0.03,0.00
737.50,4.00,1.00,63.00,0.97,0.93,1.00,0.02,0.03,0.00
750.00,8.00,6.00,107.00,0.94,0.92,1.00,0.02,0.02,0.00
762.00,5.00,5.00,167.00,0.97,0.97,1.00,0.01,0.01,0.00
775.00,6.00,3.00,130.00,0.97,0.95,1.00,0.01,0.02,0.00
787.50,11.00,3.00,215.00,0.98,0.95,1.00,0.01,0.01,0.00
800.00,16.00,7.00,279.00,0.97,0.94,1.00,0.01,0.01,0.00
812.50,12.00,8.00,400.00,0.98,0.97,1.00,0.01,0.01,0.00
825.00,16.00,3.00,287.00,0.99,0.94,1.00,0.01,0.01,0.00
837.50,2.00,5.00,147.00,0.96,0.98,1.00,0.02,0.01,0.00
850.00,0.00,0.00,92.00,0.99,0.99,1.00,0.01,0.01,0.00
875.00,6.00,9.00,141.00,0.93,0.95,1.00,0.02,0.02,0.00
925.00,0.00,0.00,20.00,0.95,0.95,1.00,0.04,0.04,0.00
936.00,1.00,2.00,38.00,0.93,0.95,1.00,0.04,0.03,0.00
955.00,3.00,11.00,182.00,0.94,0.98,1.00,0.02,0.01,0.00
980.00,3.00,3.00,141.00,0.97,0.97,1.00,0.01,0.01,0.00
