name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
525.00000,0.00000,0.00000,523.58000,1.71474,0.06201,0.51780,0.02010,0.12611,0.00259,26.25991,1.49387
537.50000,0.00000,0.00000,537.41000,1.64316,0.05533,0.97150,0.00610,0.11568,0.00249,14.62132,0.59176
550.00000,0.00000,0.00000,548.44000,0.78563,0.04099,0.73630,0.02730,0.10561,0.00238,10.10363,0.68562
562.50000,0.00000,0.00000,562.13000,0.72669,0.03741,0.96850,0.00980,0.09292,0.00228,8.07484,0.46751
575.00000,0.00000,0.00000,575.31000,0.36587,0.02807,0.75090,0.03840,0.08959,0.00219,5.43841,0.51881
587.50000,0.00000,0.00000,587.05000,0.34432,0.02702,0.96660,0.01450,0.08464,0.00213,4.20849,0.35252
600.00000,0.00000,0.00000,598.04000,0.17941,0.01794,0.69000,0.05010,0.08114,0.00208,3.20436,0.40440
612.50000,0.00000,0.00000,611.71000,0.23836,0.02183,0.94970,0.02170,0.07305,0.00200,3.43575,0.33778
625.00000,0.00000,0.00000,622.47000,0.11091,0.01665,0.80250,0.07540,0.06994,0.00195,1.97589,0.35427
637.50000,0.00000,0.00000,636.39000,0.15930,0.01951,0.97730,0.02200,0.06516,0.00188,2.50143,0.31973
650.00000,0.00000,0.00000,647.57000,0.11323,0.01603,0.86950,0.05860,0.06060,0.00182,2.14896,0.34312
662.50000,0.00000,0.00000,661.68000,0.06485,0.01143,0.95000,0.03370,0.05403,0.00176,1.26358,0.23078
675.00000,0.00000,0.00000,671.80000,0.05862,0.01051,0.81710,0.07860,0.05473,0.00174,1.31079,0.26996
687.50000,0.00000,0.00000,686.75000,0.04997,0.01666,0.87270,0.10760,0.04858,0.00161,1.17866,0.42080
700.00000,0.00000,0.00000,697.00000,0.03943,0.00861,0.94860,0.04780,0.04533,0.00159,0.91707,0.20790
712.50000,0.00000,0.00000,711.53000,0.04596,0.01063,0.96810,0.03050,0.04657,0.00159,1.01950,0.24053
725.00000,0.00000,0.00000,721.70000,0.04097,0.00966,0.96250,0.03570,0.04967,0.00164,0.85696,0.20642
737.50000,0.00000,0.00000,735.73000,0.04254,0.00941,0.86150,0.08540,0.06240,0.00185,0.79132,0.19320
750.00000,0.00000,0.00000,747.05000,0.06026,0.01157,0.96940,0.02930,0.07084,0.00200,0.87760,0.17240
762.50000,0.00000,0.00000,761.18000,0.09552,0.01363,0.97130,0.02760,0.09140,0.00222,1.07599,0.15874
775.00000,0.00000,0.00000,771.60000,0.11068,0.01553,0.94290,0.02750,0.10156,0.00238,1.15580,0.16784
787.50000,0.00000,0.00000,785.93000,0.14316,0.01732,0.97310,0.01530,0.10879,0.00245,1.35230,0.16776
800.00000,0.00000,0.00000,796.90000,0.14780,0.01983,0.96410,0.02020,0.11444,0.00251,1.33960,0.18430
812.50000,0.00000,0.00000,811.46000,0.13692,0.01654,0.97930,0.01440,0.11470,0.00251,1.21901,0.15069
825.00000,0.00000,0.00000,821.52000,0.10806,0.01528,0.92140,0.03710,0.10727,0.00244,1.09325,0.16267
837.50000,0.00000,0.00000,834.72000,0.10470,0.01529,0.95350,0.02580,0.09659,0.00233,1.13675,0.17103
850.00000,0.00000,0.00000,846.43000,0.05057,0.01043,0.98640,0.01360,0.07687,0.00207,0.66697,0.13905
862.50000,0.00000,0.00000,861.56000,0.03634,0.00950,0.93750,0.04180,0.05055,0.00166,0.76689,0.20487
875.00000,0.00000,0.00000,870.82000,0.03069,0.00764,0.93330,0.06080,0.03701,0.00142,0.88854,0.23118
910.00000,25.42000,23.31000,912.28000,0.00758,0.00188,0.94620,0.03620,0.01013,0.00077,0.79121,0.20689
950.00000,24.05000,31.56000,970.75000,0.00311,0.00129,0.86400,0.08400,0.01096,0.00077,0.32801,0.14166
