name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
525.00000,0.00000,0.00000,523.58000,1.71474,0.06201,0.51780,0.02010,0.08877,0.00219,37.30655,2.18266
537.50000,0.00000,0.00000,537.41000,1.64316,0.05533,0.97150,0.00610,0.08877,0.00219,19.05398,0.80419
550.00000,0.00000,0.00000,548.44000,0.78563,0.04099,0.73630,0.02730,0.08877,0.00219,12.02024,0.82457
562.50000,0.00000,0.00000,562.13000,0.72669,0.03741,0.96850,0.00980,0.07843,0.00206,9.56676,0.56114
575.00000,0.00000,0.00000,575.31000,0.36587,0.02807,0.75090,0.03840,0.06854,0.00192,7.10921,0.68517
587.50000,0.00000,0.00000,587.05000,0.34432,0.02702,0.96660,0.01450,0.06482,0.00187,5.49560,0.46671
600.00000,0.00000,0.00000,598.04000,0.17941,0.01794,0.69000,0.05010,0.05875,0.00179,4.42569,0.56330
612.50000,0.00000,0.00000,611.71000,0.23836,0.02183,0.94970,0.02170,0.05076,0.00169,4.94448,0.49501
625.00000,0.00000,0.00000,622.47000,0.11091,0.01665,0.80250,0.07540,0.04472,0.00157,3.09023,0.55789
637.50000,0.00000,0.00000,636.39000,0.15930,0.01951,0.97730,0.02200,0.04326,0.00152,3.76759,0.48741
650.00000,0.00000,0.00000,647.57000,0.11323,0.01603,0.86950,0.05860,0.03940,0.00146,3.30513,0.53262
662.50000,0.00000,0.00000,661.68000,0.06485,0.01143,0.95000,0.03370,0.03628,0.00141,1.88180,0.34599
675.00000,0.00000,0.00000,671.80000,0.05862,0.01051,0.81710,0.07860,0.03562,0.00141,2.01379,0.41746
687.50000,0.00000,0.00000,686.75000,0.04997,0.01666,0.87270,0.10760,0.03379,0.00137,1.69474,0.60631
700.00000,0.00000,0.00000,697.00000,0.03943,0.00861,0.94860,0.04780,0.03445,0.00140,1.20676,0.27470
712.50000,0.00000,0.00000,711.53000,0.04596,0.01063,0.96810,0.03050,0.03480,0.00143,1.36432,0.32337
725.00000,0.00000,0.00000,721.70000,0.04097,0.00966,0.96250,0.03570,0.03732,0.00145,1.14044,0.27571
737.50000,0.00000,0.00000,735.73000,0.04254,0.00941,0.86150,0.08540,0.04374,0.00157,1.12889,0.27655
750.00000,0.00000,0.00000,747.05000,0.06026,0.01157,0.96940,0.02930,0.04599,0.00161,1.35167,0.26699
762.50000,0.00000,0.00000,761.18000,0.09552,0.01363,0.97130,0.02760,0.05511,0.00179,1.78461,0.26605
775.00000,0.00000,0.00000,771.60000,0.11068,0.01553,0.94290,0.02750,0.05860,0.00182,2.00327,0.29380
787.50000,0.00000,0.00000,785.93000,0.14316,0.01732,0.97310,0.01530,0.06961,0.00200,2.11344,0.26490
800.00000,0.00000,0.00000,796.90000,0.14780,0.01983,0.96410,0.02020,0.08197,0.00213,1.87011,0.25861
812.50000,0.00000,0.00000,811.46000,0.13692,0.01654,0.97930,0.01440,0.09339,0.00228,1.49715,0.18578
825.00000,0.00000,0.00000,821.52000,0.10806,0.01528,0.92140,0.03710,0.09767,0.00234,1.20075,0.17890
837.50000,0.00000,0.00000,834.72000,0.10470,0.01529,0.95350,0.02580,0.09961,0.00236,1.10232,0.16578
850.00000,0.00000,0.00000,846.43000,0.05057,0.01043,0.98640,0.01360,0.10185,0.00234,0.50338,0.10470
862.50000,0.00000,0.00000,861.56000,0.03634,0.00950,0.93750,0.04180,0.08632,0.00217,0.44907,0.11959
875.00000,0.00000,0.00000,870.82000,0.03069,0.00764,0.93330,0.06080,0.07754,0.00206,0.42411,0.10972
910.00000,25.42000,23.31000,912.28000,0.00758,0.00188,0.94620,0.03620,0.04295,0.00162,0.18657,0.04722
950.00000,24.05000,31.56000,970.75000,0.00311,0.00129,0.86400,0.08400,0.01425,0.00092,0.25228,0.10874
