name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
525.00000,0.00000,0.00000,523.58000,1.71474,0.06201,0.51780,0.02010,0.24785,0.00611,13.36134,0.78172
537.50000,0.00000,0.00000,537.41000,1.64316,0.05533,0.97150,0.00610,0.24785,0.00611,6.82418,0.28802
550.00000,0.00000,0.00000,548.44000,0.78563,0.04099,0.73630,0.02730,0.24785,0.00611,4.30505,0.29532
562.50000,0.00000,0.00000,562.13000,0.72669,0.03741,0.96850,0.00980,0.24775,0.00650,3.02854,0.17765
575.00000,0.00000,0.00000,575.31000,0.36587,0.02807,0.75090,0.03840,0.24896,0.00698,1.95714,0.18862
587.50000,0.00000,0.00000,587.05000,0.34432,0.02702,0.96660,0.01450,0.25270,0.00728,1.40967,0.11972
600.00000,0.00000,0.00000,598.04000,0.17941,0.01794,0.69000,0.05010,0.25071,0.00765,1.03708,0.13201
612.50000,0.00000,0.00000,611.71000,0.23836,0.02183,0.94970,0.02170,0.24521,0.00817,1.02354,0.10248
625.00000,0.00000,0.00000,622.47000,0.11091,0.01665,0.80250,0.07540,0.23141,0.00811,0.59722,0.10782
637.50000,0.00000,0.00000,636.39000,0.15930,0.01951,0.97730,0.02200,0.24338,0.00854,0.66971,0.08664
650.00000,0.00000,0.00000,647.57000,0.11323,0.01603,0.86950,0.05860,0.23317,0.00867,0.55847,0.09000
662.50000,0.00000,0.00000,661.68000,0.06485,0.01143,0.95000,0.03370,0.22793,0.00884,0.29950,0.05507
675.00000,0.00000,0.00000,671.80000,0.05862,0.01051,0.81710,0.07860,0.22478,0.00891,0.31916,0.06616
687.50000,0.00000,0.00000,686.75000,0.04997,0.01666,0.87270,0.10760,0.21111,0.00854,0.27123,0.09703
700.00000,0.00000,0.00000,697.00000,0.03943,0.00861,0.94860,0.04780,0.20736,0.00843,0.20048,0.04564
712.50000,0.00000,0.00000,711.53000,0.04596,0.01063,0.96810,0.03050,0.19834,0.00814,0.23937,0.05674
725.00000,0.00000,0.00000,721.70000,0.04097,0.00966,0.96250,0.03570,0.19885,0.00774,0.21404,0.05175
737.50000,0.00000,0.00000,735.73000,0.04254,0.00941,0.86150,0.08540,0.20637,0.00741,0.23928,0.05862
750.00000,0.00000,0.00000,747.05000,0.06026,0.01157,0.96940,0.02930,0.19384,0.00677,0.32071,0.06335
762.50000,0.00000,0.00000,761.18000,0.09552,0.01363,0.97130,0.02760,0.19252,0.00625,0.51082,0.07616
775.00000,0.00000,0.00000,771.60000,0.11068,0.01553,0.94290,0.02750,0.17821,0.00556,0.65868,0.09661
787.50000,0.00000,0.00000,785.93000,0.14316,0.01732,0.97310,0.01530,0.16968,0.00489,0.86707,0.10869
800.00000,0.00000,0.00000,796.90000,0.14780,0.01983,0.96410,0.02020,0.17107,0.00447,0.89612,0.12394
812.50000,0.00000,0.00000,811.46000,0.13692,0.01654,0.97930,0.01440,0.16168,0.00396,0.86480,0.10732
825.00000,0.00000,0.00000,821.52000,0.10806,0.01528,0.92140,0.03710,0.15299,0.00367,0.76655,0.11421
837.50000,0.00000,0.00000,834.72000,0.10470,0.01529,0.95350,0.02580,0.14552,0.00345,0.75455,0.11348
850.00000,0.00000,0.00000,846.43000,0.05057,0.01043,0.98640,0.01360,0.14710,0.00338,0.34853,0.07249
862.50000,0.00000,0.00000,861.56000,0.03634,0.00950,0.93750,0.04180,0.13166,0.00332,0.29442,0.07841
875.00000,0.00000,0.00000,870.82000,0.03069,0.00764,0.93330,0.06080,0.12752,0.00339,0.25788,0.06672
910.00000,25.42000,23.31000,912.28000,0.00758,0.00188,0.94620,0.03620,0.10926,0.00412,0.07335,0.01856
950.00000,24.05000,31.56000,970.75000,0.00311,0.00129,0.86400,0.08400,0.06621,0.00430,0.05430,0.02341
