name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
640,0.00000,0.00000,638.53000,0.13303,0.01390,0.98000,0.01950,0.25094,0.00727,0.54096,0.05962
680,0.00000,0.00000,678.27000,0.08778,0.01063,0.92630,0.03990,0.23838,0.00764,0.39755,0.05267
720,0.00000,0.00000,717.46000,0.05524,0.00781,0.90660,0.04970,0.21609,0.00722,0.28196,0.04378
760,0.00000,0.00000,757.30000,0.08542,0.01075,0.95240,0.03210,0.20071,0.00512,0.44689,0.05933
800,0.00000,0.00000,797.50000,0.12994,0.01299,0.96590,0.01910,0.18139,0.00397,0.74162,0.07729
840,0.00000,0.00000,837.05000,0.10762,0.01156,0.95040,0.02380,0.16496,0.00400,0.68640,0.07753
860,0.00000,0.00000,857.92000,0.03537,0.00692,0.86930,0.05910,0.14523,0.00453,0.28017,0.05868
880,0.00000,0.00000,878.86000,0.01455,0.00406,0.95450,0.04270,0.13115,0.00589,0.11624,0.03323
920,18.79000,19.34000,917.80000,0.00663,0.00177,0.85000,0.05720,0.12303,0.00918,0.06342,0.01804
950,10.91000,9.93000,962.51000,0.00463,0.00172,0.77780,0.07030,0.08104,0.00633,0.07352,0.02872
960,5.00000,5.74000,988.50000,0.00694,0.00247,0.95630,0.04140,0.06084,0.00419,0.11928,0.04352
