name,lum,dEmin,dEmax,Emean,Nsig,dNsig
550.00,7163,0.00,0.00,550.00,1895.33,44.63
562.50,6307,0.00,0.00,562.50,1650.11,42.54
575.00,5516,0.00,0.00,575.00,1445.99,40.08
587.50,5117,0.00,0.00,587.50,1358.68,39.02
600.00,4606,0.00,0.00,600.00,1209.41,37.18
612.50,4108,0.00,0.00,612.50,1113.79,35.36
625.00,3799,0.00,0.00,625.00,968.79,32.42
637.50,3533,0.00,0.00,637.50,906.78,30.90
650.00,3340,0.00,0.00,650.00,858.74,30.73
662.50,3172,0.00,0.00,662.50,806.55,29.78
675.00,3169,0.00,0.00,675.00,831.90,30.24
687.50,3203,0.00,0.00,687.50,747.17,28.57
700.00,3361,0.00,0.00,700.00,864.00,29.40
712.50,3522,0.00,0.00,712.50,828.78,29.62
725.00,3836,0.00,0.00,725.00,924.85,30.95
737.50,4303,0.00,0.00,737.50,1061.90,33.77
750.00,4895,0.00,0.00,750.00,1172.58,36.65
762.50,5821,0.00,0.00,762.50,1484.99,39.43
775.00,6891,0.00,0.00,775.00,1693.27,43.33
787.50,8398,0.00,0.00,787.50,2059.91,47.00
800.00,9969,0.00,0.00,800.00,2425.80,51.31
812.50,11706,0.00,0.00,812.50,2798.23,56.10
825.00,13207,0.00,0.00,825.00,3130.64,59.23
837.50,13834,0.00,0.00,837.50,3220.35,60.36
850.00,13853,0.00,0.00,850.00,3364.06,61.29
862.50,13044,0.00,0.00,862.50,3006.28,58.16
875.00,11703,0.00,0.00,875.00,2690.01,54.40
887.50,10320,0.00,0.00,887.50,2428.64,51.50
900.00,9170,0.00,0.00,900.00,2046.70,80.11
912.50,7839,0.00,0.00,912.50,1842.96,42.94
925.00,6770,0.00,0.00,925.00,1526.71,41.86
935.00,6176,0.00,0.00,935.00,1341.73,38.06
945.00,5550,0.00,0.00,945.00,1205.73,39.31
950.00,5294,0.00,0.00,950.00,1175.99,37.78
962.50,4667,0.00,0.00,962.50,1014.76,34.33
975.00,4112,0.00,0.00,975.00,878.04,32.43
987.50,3640,0.00,0.00,987.50,775.40,30.60
1000.00,3361,0.00,0.00,1000.00,710.85,29.75
