,M,S1,S2,f,N,C,Merr,S1err,S2err,ferr,Nerr,Cerr
550.0,497.5884165089041,5.496658630948069,10.0,1.0,1801.3473677097602,149.67387637818774,0.13880376943478723,0.12842239982983816,0.0,0.0,44.02124940419969,16.914069043092397
562.5,497.52678638398066,5.867461813641265,10.0,1.0,1573.2348394644048,124.8816999269411,0.15916394353232022,0.15395297070833536,0.0,0.0,41.43088315514683,16.371037364150197
575.0,497.60445420079293,5.983843633196371,10.0,1.0,1375.2032933742887,114.63776059785624,0.17408486782420596,0.17240569285497598,0.0,0.0,38.87105675459145,15.81952669806735
587.5,497.7861967153515,6.304145124875891,10.0,1.0,1311.4687430885008,90.46077760096239,0.18548759459210373,0.1669149098648579,0.0,0.0,37.58407657394878,13.841353965781288
600.0,497.3497569801426,6.23039978234984,10.0,1.0,1134.8801608395408,107.10846186476242,0.20125099590663353,0.20418416945465756,0.0,0.0,35.68511581059647,15.670141557606371
612.5,497.55895189997415,6.790554897184445,10.0,1.0,1055.7164338074076,59.16378182112969,0.2211355810498219,0.19557161955954028,0.0,0.0,33.63997725824021,11.620855514071437
625.0,497.3660597031942,6.330682905801311,10.0,1.0,887.5139563407075,91.4736014732448,0.23354447529723643,0.2515433929311839,0.0,0.0,31.800234265011454,14.666412854132396
637.5,497.9180511926826,7.304259139263904,10.0,1.0,869.6527414366162,59.335841932411924,0.26630685756100547,0.25934366075282433,0.0,0.0,31.106516412296457,12.538936148947855
650.0,497.90056328774506,7.2894943339262,10.0,1.0,819.1022693075145,58.8479569547955,0.2730378892559031,0.2571110998193089,0.0,0.0,30.06264525661493,11.977700161503567
662.5,497.72191879910383,7.540853681066388,10.0,1.0,772.5038064804679,63.53987315094434,0.29698923474245476,0.31884502145233773,0.0,0.0,30.038519821584714,13.900256374216049
675.0,497.66048275136063,7.315639084971871,10.0,1.0,806.1269368022649,45.87620505779266,0.2770325125230215,0.26563612201633724,0.0,0.0,29.79882300912226,11.299239505958958
687.5,498.0516813713417,7.117052802703815,10.0,1.0,725.2862074199895,39.66133970199193,0.2782019794233008,0.2374718737863759,0.0,0.0,27.789429740676667,9.306729270427637
700.0,498.0264154004895,7.387694625451001,10.0,1.0,801.0945123319291,62.87579188041947,0.28442715773553573,0.31702331331507017,0.0,0.0,30.640870886630694,14.161172413208355
712.5,498.16945653284665,7.847269013364453,10.0,1.0,808.3829379647078,40.62583326589386,0.2931068756328159,0.2674746218492823,0.0,0.0,29.683264360341752,10.643068131315047
725.0,498.1788027267291,7.586294850693043,10.0,1.0,875.685968996942,56.29969017983982,0.2785312809579068,0.30668760087510805,0.0,0.0,31.878585525557696,14.026727036054616
737.5,498.0479512884931,7.9407338534325,10.0,1.0,1022.5722365845513,72.43724639376681,0.2684662581589805,0.26885457532964185,0.0,0.0,34.12676458550982,14.641502258932679
750.0,497.954739320477,7.640776383670655,10.0,1.0,1103.9165512147454,89.05700122729453,0.2491115623361111,0.23300035298449595,0.0,0.0,35.1508926374172,14.853894714349053
762.5,498.1802986999591,8.145394200036323,10.0,1.0,1424.341026196052,76.4262519498301,0.23155850788586463,0.23936082952248627,0.0,0.0,40.2328824800652,16.454621200218345
775.0,497.83539366040264,7.9888512195041645,10.0,1.0,1604.0010383620295,110.99111401057648,0.21582820549926396,0.22761850452835297,0.0,0.0,43.12627834547891,19.14765668289448
787.5,498.1984178586847,8.515640444053432,10.0,1.0,1987.1727197356192,99.79372908012519,0.2044782872581834,0.19900596734591325,0.0,0.0,47.276284941746894,18.639845889193708
800.0,498.3445556069487,8.403299888273462,10.0,1.0,2329.2303219483224,123.77857278997762,0.1862179168307989,0.18693702917250832,0.0,0.0,51.38579602822756,20.8503134359767
812.5,497.9104538718348,8.441336752903329,10.0,1.0,2663.3766113646097,181.6605380205789,0.17736865259107049,0.17816096488080024,0.0,0.0,55.46930421272123,24.38705192468821
825.0,498.1268301736566,8.50681551145365,10.0,1.0,3032.846782586851,167.81296707948036,0.16451277931355435,0.15233076049942973,0.0,0.0,58.07658720966833,22.527784421958856
837.5,498.0959406271691,8.301984215707652,10.0,1.0,3091.580752198486,196.4189856790165,0.16036183451879538,0.15566015601797023,0.0,0.0,59.19923816336268,24.67936799991216
850.0,498.1065995790825,8.725706667963147,10.0,1.0,3214.0870721128535,152.31817446858352,0.16401594776377237,0.15381789282958191,0.0,0.0,59.81186624223483,22.69577646650889
862.5,498.31659543758025,8.769123978019412,10.0,1.0,2887.947689659248,180.07065304397696,0.17515359999273983,0.16675150020560991,0.0,0.0,57.32339352994268,24.03627967920663
875.0,498.26142101392,8.866079263118422,10.0,1.0,2613.771175571594,136.22961923931675,0.18563103706500783,0.174730374111018,0.0,0.0,54.3136814428467,21.7282445473056
887.5,498.10319665852285,8.30133943592253,10.0,1.0,2298.773557078054,153.35036153433057,0.18722240222194841,0.18534961766341151,0.0,0.0,51.179769644263615,21.761416004616663
900.0,498.2893184884769,8.952808598900566,10.0,1.0,1995.1311500627344,133.86317687415993,0.2153628565672534,0.2026929274735867,0.0,0.0,47.683120330208,20.29964124424599
912.5,498.0761049454501,8.54722654759004,10.0,1.0,1726.2855006924483,116.77852084535445,0.22340535737865252,0.22832086564954057,0.0,0.0,44.75334589413296,19.82557998936324
925.0,498.50013893246313,9.204564254743822,10.0,1.0,1463.325747155031,105.74221976499798,0.26465770669815925,0.274885011285555,0.0,0.0,42.1175952469099,20.39591330463719
935.0,497.91515336235426,8.900954212410346,10.0,1.0,1313.4097836989822,79.53453141209043,0.2622304139902383,0.23927637150963132,0.0,0.0,38.40257699778692,15.515379648510574
945.0,498.39227127917485,9.253117895882582,10.0,1.0,1139.3477770169413,95.59486928518301,0.2994965878961864,0.30684458579518825,0.0,0.0,37.103905025781614,18.240230172249902
950.0,498.1533607988483,8.935936836688443,10.0,1.0,1124.2361406430534,76.8902829454422,0.28625472605142477,0.2656314670709339,0.0,0.0,35.81578793613869,15.335467216648134
962.5,498.55293198153635,9.397992686716533,10.0,1.0,994.5928035792473,72.57900225710013,0.32015015202671293,0.28655701612285167,0.0,0.0,33.752191995861665,14.730154454059953
975.0,499.09622232874057,9.673126014965215,10.0,1.0,846.635936445872,65.3682229140401,0.36410601965857836,0.3577492235872466,0.0,0.0,32.015044025857094,15.605388021960653
987.5,498.78144303480923,8.866371560291713,10.0,1.0,738.2026803527286,63.812747326525084,0.3560185959769626,0.36210276761233207,0.0,0.0,29.641705092423024,14.28967162862715
1000.0,498.67109672346356,8.955883829735773,10.0,1.0,647.937460042769,81.06425530776629,0.39015636020812394,0.384740643843271,0.0,0.0,28.16790176136675,15.048238150912326
