name,lum,dEmin,dEmax,Emean,Nsig,dNsig
525.0000,9938,0.0000,0.0000,525.0000,2522.1577,51.7833
537.5000,8706,0.0000,0.0000,537.5000,2312.0394,49.8691
550.0000,7837,0.0000,0.0000,550.0000,2083.5986,47.2405
562.5000,7297,0.0000,0.0000,562.5000,1851.5722,45.4646
575.0000,6773,0.0000,0.0000,575.0000,1794.4769,43.8862
587.5000,6379,0.0000,0.0000,587.5000,1689.0753,42.5380
600.0000,6118,0.0000,0.0000,600.0000,1610.5539,41.3817
612.5000,5698,0.0000,0.0000,612.5000,1450.9174,39.9904
625.0000,5395,0.0000,0.0000,625.0000,1385.6749,38.7966
637.5000,5091,0.0000,0.0000,637.5000,1295.2036,37.5128
650.0000,4925,0.0000,0.0000,650.0000,1191.8488,36.1662
662.5000,4725,0.0000,0.0000,662.5000,1072.6931,35.0323
675.0000,4501,0.0000,0.0000,675.0000,1102.1694,34.8053
687.5000,4231,0.0000,0.0000,687.5000,963.2862,32.1375
700.0000,4052,0.0000,0.0000,700.0000,888.7151,31.5895
712.5000,4251,0.0000,0.0000,712.5000,934.9382,31.8850
725.0000,4817,0.0000,0.0000,725.0000,1014.2820,33.0205
737.5000,5971,0.0000,0.0000,737.5000,1286.5717,37.7661
750.0000,7472,0.0000,0.0000,750.0000,1456.9038,40.6366
762.5000,9219,0.0000,0.0000,762.5000,1871.8027,44.9297
775.0000,10911,0.0000,0.0000,775.0000,2090.7574,48.5091
787.5000,11953,0.0000,0.0000,787.5000,2188.0825,48.9842
800.0000,12861,0.0000,0.0000,800.0000,2321.9192,50.6652
812.5000,13248,0.0000,0.0000,812.5000,2291.4516,50.2192
825.0000,12801,0.0000,0.0000,825.0000,2089.1173,48.2979
837.5000,11376,0.0000,0.0000,837.5000,1886.8575,45.9909
850.0000,9282,0.0000,0.0000,850.0000,1397.6865,39.6084
862.5000,6903,0.0000,0.0000,862.5000,979.5149,32.7283
875.0000,4696,0.0000,0.0000,875.0000,619.9617,26.1067
887.5000,3214,0.0000,0.0000,887.5000,415.8405,21.6474
900.0000,2373,0.0000,0.0000,900.0000,273.2625,17.5545
912.5000,1910,0.0000,0.0000,912.5000,201.3130,15.3165
925.0000,1875,0.0000,0.0000,925.0000,208.1796,15.4212
935.0000,1921,0.0000,0.0000,935.0000,184.0691,14.1813
945.0000,2169,0.0000,0.0000,945.0000,210.7232,15.3217
950.0000,2254,0.0000,0.0000,950.0000,187.0705,14.7535
962.5000,2722,0.0000,0.0000,962.5000,198.2311,15.7719
975.0000,3387,0.0000,0.0000,975.0000,230.0319,15.1674
987.5000,4160,0.0000,0.0000,987.5000,233.2762,16.4494
1000.0000,5121,0.0000,0.0000,1000.0000,254.3596,17.2728
