name,lum,dEmin,dEmax,Emean,Nsig,dNsig
550.00,7163,0.00,0.00,550.00,1831.24,43.27
562.50,6306,0.00,0.00,562.50,1582.50,40.43
575.00,5516,0.00,0.00,575.00,1387.57,37.83
587.50,5116,0.00,0.00,587.50,1276.30,36.18
600.00,4606,0.00,0.00,600.00,1126.57,34.43
612.50,4108,0.00,0.00,612.50,983.66,32.02
625.00,3799,0.00,0.00,625.00,864.43,30.02
637.50,3533,0.00,0.00,637.50,812.54,28.83
650.00,3340,0.00,0.00,650.00,733.94,27.89
662.50,3172,0.00,0.00,662.50,697.42,28.05
675.00,3169,0.00,0.00,675.00,682.47,26.96
687.50,3203,0.00,0.00,687.50,617.23,25.64
700.00,3361,0.00,0.00,700.00,670.26,26.42
712.50,3522,0.00,0.00,712.50,651.67,26.55
725.00,3836,0.00,0.00,725.00,706.98,27.14
737.50,4303,0.00,0.00,737.50,827.66,28.98
750.00,4895,0.00,0.00,750.00,876.30,30.46
762.50,5821,0.00,0.00,762.50,1067.40,34.08
775.00,6891,0.00,0.00,775.00,1123.56,34.94
787.50,8398,0.00,0.00,787.50,1347.01,37.93
800.00,9969,0.00,0.00,800.00,1579.55,41.84
812.50,11706,0.00,0.00,812.50,1761.05,42.94
825.00,13207,0.00,0.00,825.00,1848.01,44.64
837.50,13834,0.00,0.00,837.50,1863.33,45.47
850.00,13853,0.00,0.00,850.00,1895.83,44.71
862.50,13044,0.00,0.00,862.50,1575.91,41.07
875.00,11703,0.00,0.00,875.00,1377.74,37.77
887.50,10320,0.00,0.00,887.50,1126.37,35.18
900.00,9170,0.00,0.00,900.00,926.30,32.46
912.50,7839,0.00,0.00,912.50,766.07,29.13
925.00,6770,0.00,0.00,925.00,612.01,26.18
935.00,6176,0.00,0.00,935.00,478.72,23.02
945.00,5550,0.00,0.00,945.00,382.92,20.98
950.00,5294,0.00,0.00,950.00,367.30,20.58
962.50,4667,0.00,0.00,962.50,284.86,18.05
975.00,4113,0.00,0.00,975.00,241.80,16.82
987.50,3640,0.00,0.00,987.50,181.46,14.97
1000.00,3361,0.00,0.00,1000.00,154.28,14.43
