name,lum,dEmin,dEmax,Emean,Nsig,dNsig
550.00,7163,0.00,0.00,550.00,1718.05,42.89
562.50,6306,0.00,0.00,562.50,1497.54,40.26
575.00,5516,0.00,0.00,575.00,1313.39,37.51
587.50,5116,0.00,0.00,587.50,1227.37,36.17
600.00,4606,0.00,0.00,600.00,1062.12,34.11
612.50,4108,0.00,0.00,612.50,925.55,32.44
625.00,3799,0.00,0.00,625.00,794.54,29.38
637.50,3533,0.00,0.00,637.50,786.03,28.85
650.00,3340,0.00,0.00,650.00,702.80,27.75
662.50,3172,0.00,0.00,662.50,667.14,26.99
675.00,3169,0.00,0.00,675.00,644.72,27.12
687.50,3203,0.00,0.00,687.50,593.31,25.64
700.00,3361,0.00,0.00,700.00,639.32,26.88
712.50,3522,0.00,0.00,712.50,607.63,26.60
725.00,3836,0.00,0.00,725.00,673.21,27.72
737.50,4303,0.00,0.00,737.50,800.84,29.75
750.00,4895,0.00,0.00,750.00,835.23,30.68
762.50,5821,0.00,0.00,762.50,1012.85,34.44
775.00,6891,0.00,0.00,775.00,1076.92,34.92
787.50,8398,0.00,0.00,787.50,1272.56,38.56
800.00,9969,0.00,0.00,800.00,1530.40,41.32
812.50,11706,0.00,0.00,812.50,1705.48,43.59
825.00,13207,0.00,0.00,825.00,1766.27,45.02
837.50,13834,0.00,0.00,837.50,1785.98,44.82
850.00,13853,0.00,0.00,850.00,1857.41,44.74
862.50,13044,0.00,0.00,862.50,1529.16,40.98
875.00,11703,0.00,0.00,875.00,1348.69,38.39
887.50,10320,0.00,0.00,887.50,1081.28,35.17
900.00,9170,0.00,0.00,900.00,889.94,32.30
912.50,7839,0.00,0.00,912.50,722.96,31.11
925.00,6770,0.00,0.00,925.00,586.72,26.80
935.00,6176,0.00,0.00,935.00,464.70,23.01
945.00,5550,0.00,0.00,945.00,364.67,21.62
950.00,5294,0.00,0.00,950.00,355.02,20.85
962.50,4667,0.00,0.00,962.50,285.46,17.91
975.00,4113,0.00,0.00,975.00,236.15,16.74
987.50,3640,0.00,0.00,987.50,180.98,14.87
1000.00,3361,0.00,0.00,1000.00,166.54,14.00
