label,lum
975,4113
687.5,3203
900,9170
1000,3361
787.5,8398
887.5,10320
935,6176
987.5,3640
925,6770
650,3340
987.5,3640
687.5,3203
950,5294
762.5,5821
575,5516
725,3836
612.5,4108
945,5550
825,13207
975,4112
812.5,11706
800,9969
837.5,13834
700,3361
712.5,3522
887.5,10320
662.5,3172
600,4606
725,3836
1000,3361
962.5,4667
737.5,4303
550,7163
862.5,13044
637.5,3533
837.5,13834
637.5,3533
775,6891
762.5,5821
862.5,13044
850,13853
562.5,6306
750,4895
935,6176
675,3169
625,3799
925,6770
962.5,4667
875,11703
912.5,7839
587.5,5116
