name,lum,dEmin,dEmax,Emean,Nsig,dNsig
550.0000,7163,0.0000,0.0000,550.0000,1775.3351,43.7841
562.5000,6306,0.0000,0.0000,562.5000,1562.3131,41.0725
575.0000,5516,0.0000,0.0000,575.0000,1372.7035,38.4817
587.5000,5116,0.0000,0.0000,587.5000,1293.5363,37.2771
600.0000,4606,0.0000,0.0000,600.0000,1152.9720,35.5311
612.5000,4108,0.0000,0.0000,612.5000,1005.9107,33.7006
625.0000,3799,0.0000,0.0000,625.0000,866.1544,30.6982
637.5000,3533,0.0000,0.0000,637.5000,865.1772,30.3428
650.0000,3340,0.0000,0.0000,650.0000,769.3617,29.0039
662.5000,3172,0.0000,0.0000,662.5000,722.4563,28.0732
675.0000,3169,0.0000,0.0000,675.0000,709.0714,28.3042
687.5000,3203,0.0000,0.0000,687.5000,673.6160,27.2830
700.0000,3361,0.0000,0.0000,700.0000,693.8203,28.2303
712.5000,3522,0.0000,0.0000,712.5000,696.1407,28.6028
725.0000,3836,0.0000,0.0000,725.0000,764.4550,29.1881
737.5000,4303,0.0000,0.0000,737.5000,893.0284,31.7538
750.0000,4895,0.0000,0.0000,750.0000,928.1112,32.2438
762.5000,5821,0.0000,0.0000,762.5000,1122.6923,36.1376
775.0000,6891,0.0000,0.0000,775.0000,1190.3135,36.6203
787.5000,8398,0.0000,0.0000,787.5000,1421.2516,40.5237
800.0000,9969,0.0000,0.0000,800.0000,1711.4199,43.3648
812.5000,11706,0.0000,0.0000,812.5000,1881.9925,45.9032
825.0000,13207,0.0000,0.0000,825.0000,1980.9205,47.2210
837.5000,13834,0.0000,0.0000,837.5000,1995.4040,47.1788
850.0000,13853,0.0000,0.0000,850.0000,2053.6748,46.7343
862.5000,13044,0.0000,0.0000,862.5000,1699.8315,43.1877
875.0000,11703,0.0000,0.0000,875.0000,1475.9002,40.2215
887.5000,10320,0.0000,0.0000,887.5000,1190.3091,36.9436
900.0000,9170,0.0000,0.0000,900.0000,1017.8749,34.6580
912.5000,7839,0.0000,0.0000,912.5000,856.2382,32.3369
925.0000,6770,0.0000,0.0000,925.0000,655.4847,27.8318
935.0000,6176,0.0000,0.0000,935.0000,521.7957,24.4524
945.0000,5550,0.0000,0.0000,945.0000,412.9554,23.2487
950.0000,5294,0.0000,0.0000,950.0000,408.0831,22.0273
962.5000,4667,0.0000,0.0000,962.5000,314.8187,18.8615
975.0000,4113,0.0000,0.0000,975.0000,269.6788,18.2317
987.5000,3640,0.0000,0.0000,987.5000,202.2988,15.7590
1000.0000,3361,0.0000,0.0000,1000.0000,179.5113,14.6225
