name,lum,dEmin,dEmax,Emean,Nsig,dNsig
550.00,7163,0.00,0.00,550.00,1801.35,44.02
562.50,6307,0.00,0.00,562.50,1573.23,41.43
575.00,5516,0.00,0.00,575.00,1375.20,38.87
587.50,5117,0.00,0.00,587.50,1311.47,37.58
600.00,4606,0.00,0.00,600.00,1134.88,35.69
612.50,4108,0.00,0.00,612.50,1055.72,33.64
625.00,3799,0.00,0.00,625.00,887.51,31.80
637.50,3533,0.00,0.00,637.50,869.65,31.11
650.00,3340,0.00,0.00,650.00,819.10,30.06
662.50,3172,0.00,0.00,662.50,772.50,30.04
675.00,3169,0.00,0.00,675.00,806.13,29.80
687.50,3203,0.00,0.00,687.50,725.29,27.79
700.00,3361,0.00,0.00,700.00,801.09,30.64
712.50,3522,0.00,0.00,712.50,808.38,29.68
725.00,3836,0.00,0.00,725.00,875.69,31.88
737.50,4303,0.00,0.00,737.50,1022.57,34.13
750.00,4895,0.00,0.00,750.00,1103.92,35.15
762.50,5821,0.00,0.00,762.50,1424.34,40.23
775.00,6891,0.00,0.00,775.00,1604.00,43.13
787.50,8398,0.00,0.00,787.50,1987.17,47.28
800.00,9969,0.00,0.00,800.00,2329.23,51.39
812.50,11706,0.00,0.00,812.50,2663.38,55.47
825.00,13207,0.00,0.00,825.00,3032.85,58.08
837.50,13834,0.00,0.00,837.50,3091.58,59.20
850.00,13853,0.00,0.00,850.00,3214.09,59.81
862.50,13044,0.00,0.00,862.50,2887.95,57.32
875.00,11703,0.00,0.00,875.00,2613.77,54.31
887.50,10320,0.00,0.00,887.50,2298.77,51.18
900.00,9170,0.00,0.00,900.00,1995.13,47.68
912.50,7839,0.00,0.00,912.50,1726.29,44.75
925.00,6770,0.00,0.00,925.00,1463.33,42.12
935.00,6176,0.00,0.00,935.00,1313.41,38.40
945.00,5550,0.00,0.00,945.00,1139.35,37.10
950.00,5294,0.00,0.00,950.00,1124.24,35.82
962.50,4667,0.00,0.00,962.50,994.59,33.75
975.00,4112,0.00,0.00,975.00,846.64,32.02
987.50,3640,0.00,0.00,987.50,738.20,29.64
1000.00,3361,0.00,0.00,1000.00,647.94,28.17
