ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
713.1534,1.1128205,1.4015173,497.57523,935.0,0.99993837,20000,2008
786.0716,1.8995023,2.199422,505.77155,935.0,0.9999994,20000,2008
797.222,2.4793377,0.24398431,491.57312,935.0,0.99786836,20000,2008
763.2371,1.8927771,5.3317995,492.95007,935.0,0.99997175,20000,2008
795.50085,2.019524,5.0608435,501.6734,935.0,0.99986523,20000,2008
825.7128,1.2916689,5.6195245,510.04077,935.0,0.99985766,20000,2008
833.6495,1.4526547,4.133352,512.2014,935.0,0.9999988,20000,2008
796.5373,2.0204053,5.1761193,502.94516,935.0,0.99982864,20000,2008
724.7621,2.1753232,1.9341508,496.34616,935.0,0.99997914,20000,2008
839.35364,1.8888141,2.8047318,514.765,935.0,0.99999976,20000,2008
806.3788,1.6010453,5.47974,501.52792,935.0,0.9999767,20000,2008
808.4962,1.7658384,4.4681935,502.84235,935.0,0.9999796,20000,2008
743.1532,0.8416897,3.0591607,516.28973,935.0,0.9995608,20000,2008
769.2618,1.2692772,1.6923665,492.6474,935.0,0.99999493,20000,2008
725.1188,1.2857844,4.360262,505.87704,935.0,0.9999979,20000,2008
724.3089,1.2205616,2.5661538,502.56796,935.0,0.9999876,20000,2008
804.04877,1.565364,4.6044893,501.5546,935.0,0.9999992,20000,2008
796.58093,1.9670794,0.60374457,499.74292,935.0,0.999962,20000,2008
784.9769,0.9614859,1.1658783,491.8595,935.0,0.9999683,20000,2008
703.50507,0.8501494,0.53874594,500.70004,935.0,0.9997641,20000,2008
787.05396,0.8880064,2.0591683,497.1864,935.0,0.9999999,20000,2008
743.5719,2.2112975,4.068519,497.54764,935.0,0.9983227,20000,2008
798.6097,0.94128406,0.11696591,500.3366,935.0,0.99999946,20000,2008
797.59735,1.769959,3.5763392,499.1684,935.0,0.9999973,20000,2008
797.7449,1.2745618,5.4343343,498.8636,935.0,0.99998957,20000,2008
820.9865,1.0212266,1.4627594,520.6197,935.0,0.9998283,20000,2008
797.3097,1.0040817,0.7539396,503.38132,935.0,0.99999845,20000,2008
728.9375,2.0469155,3.7866254,512.8838,935.0,0.99977607,20000,2008
796.5334,1.3208694,5.798168,499.89255,935.0,0.9999629,20000,2008
738.789,1.6769015,3.4390745,482.98837,935.0,0.999996,20000,2008
771.7952,1.4270022,0.70501304,494.05298,935.0,0.9999686,20000,2008
766.3985,2.0213819,4.243601,487.98883,935.0,0.99996024,20000,2008
827.56104,1.7279605,5.1260805,507.6343,935.0,0.99979377,20000,2008
718.0563,1.6177157,4.0544224,477.88116,935.0,0.999996,20000,2008
728.38184,0.99243075,6.1367893,499.45175,935.0,0.9999982,20000,2008
734.826,0.7759439,2.5666306,499.16458,935.0,0.99994385,20000,2008
